1	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	996
6.3732	18.138	30.446	42.516	54.85	66.924	79.128	91.566	103.85	116.07	128.4	140.69	153.02	165.28	177.29	189.52	201.72	213.81	226.04	238.21	249.36
8.09	20.455	32.863	45.199	57.838	70.384	82.501	94.497	106.6	118.65	130.65	142.56	154.82	166.84	178.72	190.57	202.47	214.24	226.18	237.73	248.96
6.2524	17.964	29.999	41.993	54.013	66.031	78.245	90.389	102.64	114.78	126.94	139.09	151.24	163.38	175.63	187.57	199.62	211.65	223.61	235.55	247
7.4099	19.64	31.891	44.11	56.518	68.807	80.939	93.176	105.7	118	130.26	142.72	155.02	167.34	179.56	191.64	203.91	215.74	227.95	240.04	251.44
7.0255	18.694	30.802	42.941	54.958	67.029	79.275	91.457	103.78	116.04	128.37	140.79	152.98	165.32	177.62	189.86	202.02	214.29	226.52	238.66	249.43
6.8367	18.552	30.558	42.559	54.672	66.791	78.698	90.955	103.19	115.56	127.78	139.97	152.09	164.47	176.45	188.71	200.82	213.01	225.14	237.15	248.24
8.1335	19.834	31.915	43.993	55.93	68.053	79.991	92.301	104.34	116.54	128.67	140.92	153.07	165.16	177.42	189.55	201.55	213.61	225.52	237.52	248.69
7.3027	19.12	31.156	43.226	55.255	67.205	79.336	91.416	103.58	115.83	128.61	141.02	153.71	166.1	178.46	190.51	202.77	214.8	227.16	239.14	250.18
7.9986	19.918	31.868	43.859	55.917	68.138	80.022	92.282	104.45	116.74	129.17	141.22	153.73	165.91	178.12	190.33	202.31	214.63	226.8	238.71	250.59
5.8774	17.313	29.58	41.779	53.884	65.931	78.025	90.256	102.45	114.76	126.94	139.14	151.52	163.86	175.92	188.05	200.15	212.25	224.41	236.22	247.45
8.4031	20.007	32.036	43.813	55.631	67.61	79.505	91.617	103.59	115.61	127.6	139.94	152	164.79	177.46	189.98	202.03	213.89	225.82	237.72	248.69
7.0201	19.557	31.54	43.758	55.749	67.63	79.883	92.05	104.12	116.22	128.7	141.06	153.56	166.1	178.67	190.91	203.19	215.37	227.47	239.67	251.27
7.8686	19.522	31.546	43.568	55.419	67.522	79.551	91.728	103.87	116.05	128.24	140.48	152.7	164.95	177.12	189.12	201.3	213.32	225.52	237.53	248.98
8.1282	19.696	31.484	43.367	55.094	67.213	79.195	91.299	103.3	115.46	127.78	139.94	152.03	164.28	176.48	188.34	200.5	212.65	224.5	236.62	247.84
8.1755	19.902	31.978	44.026	56.014	68.163	80.179	92.316	104.51	116.77	128.96	141.1	153.31	165.59	177.72	189.6	201.61	213.59	225.57	237.68	248.7
8.3587	20.214	32.157	44.329	56.48	68.673	81.228	92.986	105.28	117.45	129.9	142.05	154.46	166.73	178.85	190.98	203.03	215.14	227.23	239.18	250.66
8.0535	19.772	31.631	43.29	55.324	67.395	79.408	91.297	103.58	115.89	128.04	140.31	152.57	164.63	176.99	189.16	201.24	213.63	225.66	238.18	249.74
7.2838	18.982	31.037	43.062	55.075	67.095	79.165	91.195	103.41	115.76	127.94	140.09	152.25	164.55	176.83	188.87	200.92	213.04	224.91	237.25	248.42
6.7877	18.243	30.555	42.353	54.281	66.363	78.448	90.519	102.78	114.9	127.11	139.42	151.69	163.94	176.1	188.3	200.48	212.4	224.41	236.46	247.81
7.2605	19.023	31.034	43.393	55.075	67.216	79.194	91.41	103.55	115.94	128.01	140.33	152.69	164.71	176.84	188.99	200.99	212.76	224.71	236.7	247.89
7.1698	18.735	30.643	42.533	54.703	66.532	78.668	90.767	102.97	114.98	127.18	139.4	151.65	163.89	175.92	187.78	199.99	212.16	224.21	236.29	247.68
7.4446	19.131	31.011	43.094	55.135	67.209	79.21	91.38	103.72	116	128.19	140.4	152.73	165.05	177.06	189.29	201.52	213.34	225.58	237.96	249
7.5647	19.146	31.073	43.146	55.097	67.3	79.524	91.947	104.07	116.21	128.45	140.92	153.11	165.2	177.55	189.64	201.95	214.04	226.12	238.26	249.32
9.1051	20.982	32.917	44.802	56.881	68.89	81.009	93.143	105.18	117.27	129.47	141.68	153.71	165.96	178.11	190.22	202.15	214.11	226.13	238.04	249.38
8.843	20.488	32.31	44.22	56.217	68.204	80.095	92.137	104.37	116.49	128.8	140.83	152.93	165.17	177.27	189.33	201.32	213.47	225.59	237.75	248.97
7.3967	19.15	31.319	43.448	55.559	67.878	79.831	92.045	104.54	116.58	128.82	141.07	153.13	165.5	177.82	189.77	201.77	213.59	225.38	237.45	248.54
6.6461	18.218	30.449	42.536	54.521	66.45	78.826	91.015	103.23	115.38	127.72	140.02	152.33	164.55	176.78	188.96	201.09	213.12	225.08	237.31	248.33
7.3004	19.194	30.982	43.334	55.254	67.828	79.707	91.973	104.29	116.12	128.09	140.35	152.33	164.58	176.72	188.76	200.61	212.67	224.88	236.82	248.02
10.7	22.11	34.065	46.386	58.373	70.523	82.551	94.302	106.32	118.24	130.22	142.06	154.25	166.14	178.17	190.05	202.12	213.81	225.69	237.74	248.98
8.0991	19.874	31.43	43.174	55.136	67.297	79.151	91.172	103.47	115.6	127.75	140.01	151.91	164.15	176.55	188.43	200.7	212.8	224.97	236.95	248.32
7.5067	19.043	30.863	43.146	55.398	67.231	79.585	91.694	104.05	116.12	128.37	140.64	152.99	165.23	177.61	190.09	202.14	214.32	226.48	238.73	250.09
7.7507	19.624	31.61	43.699	55.789	67.694	79.971	92.086	104.26	116.53	128.77	141	153.26	165.31	177.48	189.85	201.72	213.9	225.77	237.91	249.18
