12  188  452  628 
27.33333      83.63087      170.4541      227.9358 
27.87978      85.90455      173.2366      229.2727 
27.04878      84.62143      171.4864      229.5743 
27.39394      84.77101      170.9359      229.1486 
26.53333      83.72967      170.4315        228.57 
26.0504      83.76112      170.8884       228.846 
27.94101      85.79048      171.6888      229.3439 
27.18657      84.08554      170.7055      228.9291 
27.95957      85.58025      172.1799      229.6103 
28.08483      85.69265      172.2661      230.1581 
27.37539      84.41885      171.0727      229.1399 
26.81657       83.5942      170.3909      229.0252 
26.71003       84.1105       171.217        229.31 
27.3883      84.33898      170.7557      228.9503 
26.95522      83.75328      170.6262      228.9729 
27.24586      85.93703      172.8586      229.9927 
27.19505      85.24518      171.4476      229.0544 
27.85095      85.95095      172.3352      229.6777 
28.32492      86.60724       172.326      229.5356 
28.56676      87.10789      173.3053      229.7934 
27.48303      85.25316       171.885      229.7332 
27.83133      85.69067      172.6571      230.2995 
27.60335      85.13536      171.1918      229.2537 
27.58201      84.85638      171.2763      229.1684 
26.96264      85.01632      171.4586       229.446 
26.50262      83.62103      170.5936      229.1547 
27.68732      84.63616      171.0023      229.1119 
27.27273      84.06443      170.2604      228.8916 
27.98403      85.20051      171.4034       229.767 
27.8539      84.87745      171.4405      229.4342 
28.39697      86.80124      173.1581       229.615 
27.91818      84.22525      170.2152      228.8556 
