12   56  100  144  188  232  276  320  364  408  452  496  540  584  628 
28.71064      42.65773      56.98978      70.88577      84.99794      98.98514      113.4755         127.6      141.6298       155.849       169.546      183.8217      197.9409      212.1836       226.547 
29.5684        43.659      57.90498      71.81616      85.99375      100.0231      114.0465      128.3267      141.9635      156.1957      169.6367      183.9316       197.866      211.9444      226.2589 
28.58772      42.41807      56.73684      70.48776      84.42523      98.51267       112.668      126.6926       140.748      155.0743      168.6823      182.9689      197.2807      211.5327      226.0747 
28.43584       42.0717      56.43813      70.12389      84.18716      98.60958      112.5081      126.7665      140.4785      155.0326      168.9558       183.302      197.3588      211.8895      226.2095 
27.70824      41.99613      56.11224      70.15723      84.48924      99.11069      112.9306      127.4885      141.3141      155.6333      169.3167      183.7581        197.64      211.7522      226.2185 
29.3141      43.16846      57.79025      71.62097      85.77778      99.89362       114.119      128.2551       141.998      156.0872      169.8712      183.9115      197.8976      212.0455      226.3944 
29.45767      43.41942       57.8008      71.73386      85.75654      99.84944      114.1648      128.1685      142.0386      156.1081      169.8076      184.1207      198.0062       212.032      226.2925 
28.25229      42.12474      56.39957      70.23256      84.13235       98.4106      112.4564       126.746      140.6265      155.0701      168.6802      183.1049       197.215      211.5433      225.9296 
29.41218      43.53543      57.79379       71.8709      85.88716      99.94542      114.0319      128.2437       142.051       156.498      169.8818      184.1686       198.232      212.4191      226.5011 
29.61778      43.91963      58.49372        72.583      86.83689      100.9467      115.3352      129.5528      143.4228      157.7206      171.0552      185.6233      199.6212      213.6278      227.6085 
29.4321      43.43385      57.75219      71.88769      85.80725      99.94153      113.9798      128.1803      141.8327      155.9379      169.5275      183.5843      197.5736      211.4822      226.5019 
28.58473      42.89074      57.61807      71.62151      85.85685      100.2433      114.5583      128.7888      142.6061      156.9544      170.5484      185.3025      199.4681      213.3965      227.3552 
28.2698      42.32558      56.70759      70.73718      84.72176      98.97561      113.3217      127.6201      141.5132      156.2065      169.6851      183.9921      198.2227      212.4809       226.749 
29.04859      42.83027      57.50644      71.21166      85.47059      99.64791      113.6667      127.8171      141.5879      156.0499      169.5717      183.9188      197.9771       212.128      226.5332 
28.90444      42.86335      57.24729      71.04234      85.23319      99.39591      113.3147      127.5762      141.4275      156.0228      169.3462      183.5543       197.714      211.7814      226.1049 
29.37047      43.15287      57.93564       71.8512      85.87084      100.1963      114.3406       128.532      142.4033        156.54      170.2843      184.4395      198.6772      212.6556       226.833 
28.92217      42.96888       57.3397      71.42636      85.49174      99.76316       114.062      128.1286      142.0331      156.1795      169.7395      184.2707       198.268      212.3253      226.6393 
29.23389      43.26628      57.55319      71.42442      85.34979      99.52964      114.1211      128.0284      141.8914      155.8916      169.6099      183.8317      197.9231       211.916      226.1598 
28.81221      42.87726      57.02908       71.1524      85.25263        99.364      113.3617       127.873      141.6748      156.1113       169.681      183.9205      198.2154      212.5381      226.7855 
28.34635      42.30519      56.66814      70.83227      85.02923      99.24309      113.4589       127.735      141.2942      155.8501      169.2524      183.8333      197.8114      211.9551      226.3489 
27.51522      41.24571      55.77707       69.7412      83.74737      98.24813      112.2865      126.7214      140.7587      155.4465      169.4004      183.6151      198.1164      212.5243      227.0318 
28.99321      42.71373      56.98945      70.81758      85.00615      99.20396      113.3182      128.5242      141.3452      156.1052      169.5946      183.8358      198.0333      212.1686      226.4918 
28.50572      42.25281      56.74338      70.54329      84.85521      98.84916      113.1455      129.0256       141.178      155.5448       169.451      183.6395      197.9148      212.1238      226.3577 
28.69555      42.58874      56.98906      70.83263      84.85524      99.03049      113.0787      129.2451      141.1978      155.6845      169.2925      183.6012      197.7597      211.9818      226.4727 
28.26485      42.37405      56.33333      70.33054      84.64474      98.72051      113.0031      129.2222      141.0146      155.7163      169.3489      183.5299      197.8044      212.0744      226.4645 
28.78795      42.56832      56.72234      70.56175      84.66346      98.82897      113.0087      129.4466      141.0851      155.6388        169.34      183.8495      198.0645      212.4804       227.096 
28.57895      42.51965      56.61359      70.65275      84.63561      98.60042      113.0608      128.5275      140.8971      155.8689       169.049      183.4864      197.7048      211.8049      226.2938 
29.01089      42.93172      56.99008      70.69079      84.74664      98.88616      112.7637      129.5973       140.893      155.3214      168.8292      183.3491      197.5128      211.6911      226.1848 
29.18821      43.30303      57.58526      71.59381      85.91968      100.1133      114.2019      129.8315      142.4684      156.5444      170.0204      184.5562      198.7101      212.7137      226.8739 
29.25949      43.17748      57.56238      71.32484      85.45276      99.66342      113.7667      128.8016      141.6686      155.6385      169.4046       183.784      197.8766      212.0811      226.4487 
29.93908      44.27255      58.65953      72.65914      86.91969      101.3979      115.4566      130.3739      143.5804      157.8119       171.146        185.74      199.7933      213.5759      227.7332 
29.18615       43.3165      57.83065      71.79541      86.28743       100.511      114.5351      129.5634      142.6486      156.7602      170.6723      185.0706      199.2016      213.2875      227.3843 
28.28112      42.50208      56.88139      70.88967      85.10707      99.34122      113.6919      129.3924      142.0251      156.0461      169.6886      184.5068         198.5      212.6978      226.9077 
29.58156      43.54949      58.14317      72.09218      86.26994      100.5783      114.8233      128.7841      142.7076      156.7294       170.379      184.8987      199.0923      213.1871      227.2424 
29.56688      43.61905      57.93008      71.91463      86.19706      100.2964      114.4162      128.4998      142.7297      156.4246      170.1737      184.7516      198.6485      212.8045      226.7398 
29.17211      43.04247      57.85857       71.7301      85.95964      100.4528      114.6243      128.4255       142.519      156.5255      170.1543       184.734       198.512      212.5915      226.7356 
