12   56  100  144  188  232  276  320  364  408  452  496  540  584  628 
29.3283       44.0008      58.29769      72.35401      86.03659      100.3217      114.4162      128.7888      142.8691        156.92      170.1951      184.3607      198.9132      212.1642      226.6758 
28.89817      43.16094      57.61427      71.42696       85.2894       99.8435      113.6737      127.8065      141.9512      156.0189      169.8332       184.168      198.1246      212.1204      226.6946 
29.47204      43.60757      57.81889      71.67582      85.67134      99.84242      113.9645      127.9427       141.963      156.2086      169.9207       183.993      198.1143      212.2445      226.5166 
29.08496      43.10632      57.19461      70.92418      84.62355      98.85274      112.7858      126.9555      140.7906      154.7004      168.7502      182.9658       196.943      211.1834      226.1174 
28.91823      43.38153      57.31976      71.46441      85.53165      99.62513      113.6212      127.8477      141.9884      155.9486      169.6931      183.6693      197.8231      211.8071      226.3821 
29.28165      43.53879      57.69706      71.79041      85.82441      99.76839      114.0831      127.9778      142.0084      156.0755      169.6867      183.7843      197.8845      211.9898      226.5673 
28.92748      43.17725      57.25186      71.23962      85.19139      99.33862       113.365      127.4894      141.4051      155.4823      169.2992      183.2036      197.1514      211.3636      226.3845 
29.22431      43.64669      57.76717      71.96742      86.08091      100.2267      114.3913       128.661      142.6681      156.7759       170.601      184.9341      198.9329      213.0836      227.4284 
28.78791      42.99297      57.17268      71.29097      85.33958      99.54213      113.8275      127.8318      142.0615      156.1998      169.9318      184.2193      198.2898      212.3954        227.02 
28.73134      43.03052      57.22092      71.38853      85.52877      99.53292      113.8787      128.0738      142.3333      156.4316      170.2759      184.5785      198.8127      213.1282      227.4955 
29.41271      43.85455      58.08448       72.2045      86.23077       100.388      114.4078        128.64      142.6753      156.7531      170.3239      184.5384      198.6845      212.5673      227.0199 
29.44434      43.88971      57.92512      71.84265      85.89938      99.91226       114.106      127.9434      142.0993      156.3572      170.0244       184.225      198.4133       212.578      226.9397 
29.52428      44.13492        58.439       72.5394        86.629      100.8426      114.9179       128.954      142.9265      156.9778      170.4004      184.6597        198.48      212.2631      226.7507 
29.05596      43.32783      57.58537       71.7033      85.67901      99.82211      114.0598      128.1247      142.2313      156.4068      170.0602      184.4295      198.4328      212.6937      226.9879 
29.87325      44.81994      59.14432      73.43902      87.50834      101.7166      115.8374      130.0088      144.0982      158.2303      171.8713      186.0146      200.1024      213.8981      228.0414 
28.85042      43.15081      57.39574      71.59532      85.70398      99.71079      113.8687      128.0486      141.9595      156.2565      169.7833      183.8625      197.8521      211.9007      226.4508 
29.64367      44.11446      58.47487      72.51693      86.69525      100.8976      115.0461      128.9967      143.1727      157.2145      170.8314      185.1062       199.101      213.1084       227.353 
29.39322      43.77206      57.83209      71.97059      85.82969       99.8283      113.9195      128.0098      141.9563      156.0904      169.6529      183.6258      197.5867       211.632      226.2318 
29.03445      43.16684      57.18542      71.16013      85.20992      99.24479      113.3607      127.5294      141.3316      155.6902      169.2694      183.4103      197.5377       211.833      226.5217 
